source,fixture_id,market,selection,prediction_timestamp,kickoff_timestamp,dixon_coles_probability,market_fair_probability,edge,raw_ev,odds,league_id,home_ft_count,away_ft_count,used_default_lambda,home_lambda,away_lambda,feature_quality,hours_to_kickoff,old_confidence,outcome,daily_pick_id
botposlednji1,1554368,btts,No,2026-07-07 04:27:39.062183,2026-07-07 16:00:00,0.48783187468166533,0.30088950070459064,0.1869423739770747,0.007372821217638936,2.065,2,0,0,False,,,0.35,11.53914939361111,0.07610567999595197,lose,53
botposlednji1,1554374,over_under,Under 2.5,2026-07-07 04:27:39.062183,2026-07-07 19:00:00,0.4972500581242189,0.28888223600635576,0.20836782211786314,0.006931367701543234,2.025,2,0,0,False,,,0.35,14.53914939361111,0.1037731117556735,win,54
botposlednji1,1554414,over_under,Under 2.5,2026-07-08 04:11:01.190562,2026-07-08 16:00:00,0.5742655799446128,0.41388184729191174,0.16038373265270106,0.033678043900303045,1.8,848,0,0,False,,,0.35,11.816335955,0.22631628956904426,lose,55
botposlednji1,1554395,over_under,Under 2.5,2026-07-08 04:11:01.190562,2026-07-08 17:30:00,0.5303459116461194,0.3452762580870685,0.18506965355905092,0.031522798151702114,1.9449999999999998,848,0,0,False,,,0.35,13.316335955,0.15575817665553093,win,56
botposlednji1,1554393,over_under,Under 2.5,2026-07-08 04:11:01.190562,2026-07-08 17:30:00,0.5158452726616207,0.30567828830307164,0.21016698435854908,0.0058982816901604895,1.95,848,0,0,False,,,0.35,13.316335955,0.15347558839706288,win,57
botposlednji1,1554365,over_under,Under 2.5,2026-07-08 04:11:01.190562,2026-07-08 15:00:00,0.4886400576892665,0.2724129211461419,0.2162271365431246,0.0017121182629962206,2.05,2,0,0,False,,,0.35,10.816335955,0.09364446994751952,lose,58
botposlednji1,1554363,over_under,Under 2.5,2026-07-08 12:34:03.180020,2026-07-08 16:00:00,0.49399648198338014,0.3019595840035618,0.19203689797981832,0.034922629755181234,2.0949999999999998,2,0,0,False,,,0.35,3.4324499944444447,0.0758360668892597,lose,59
botposlednji1,1554446,over_under,Under 2.5,2026-07-09 04:37:26.999159,2026-07-09 18:00:00,0.4904321625568504,0.29329559988187986,0.19713656267497054,0.029907541369385893,2.1,3,0,0,False,,,0.35,13.375833566944445,0.07395257877927397,lose,60
botposlednji1,1554401,over_under,Under 2.5,2026-07-09 04:37:26.999159,2026-07-09 18:30:00,0.47681096482330687,0.25971591925721427,0.2170950455660926,0.025143574370109834,2.15,848,0,0,False,,,0.35,13.875833566944445,0.07185053198948133,lose,61
botposlednji1,1554442,over_under,Under 2.5,2026-07-09 04:37:26.999159,2026-07-09 17:00:00,0.4846768792772508,0.27983709526174344,0.20483978401550734,0.022668215274999293,2.1100000000000003,3,0,0,False,,,0.35,12.375833566944445,0.07027551717179337,win,62
botposlednji1,1554443,over_under,Under 2.5,2026-07-09 04:37:26.999159,2026-07-09 18:00:00,0.48889921059238184,0.28577062725598656,0.20312858333639527,0.02179935013807799,2.09,3,0,0,False,,,0.35,13.375833566944445,0.07791759869778514,win,63
botposlednji1,1554402,btts,No,2026-07-09 04:37:26.999159,2026-07-09 16:00:00,0.4852099942384801,0.29449865598858793,0.19071133824989217,0.018940987900808226,2.1,848,0,0,False,,,0.35,11.375833566944445,0.07781677136361798,lose,64
botposlednji1,1554441,over_under,Under 2.5,2026-07-09 04:37:26.999159,2026-07-09 18:00:00,0.47361304281739863,0.2586876171762341,0.2149254256411645,0.01589997684332012,2.145,3,0,0,False,,,0.35,13.375833566944445,0.05722783193528869,lose,65
botposlednji1,1554408,over_under,Under 2.5,2026-07-09 18:28:26.780338,2026-07-09 18:45:00,0.5358245169717846,0.3403826457133581,0.1954418712584265,0.012708337076672738,1.89,848,0,0,False,,,0.35,0.27589435055555556,0.18127412510670837,win,66
botposlednji1,1554400,btts,No,2026-07-09 18:28:26.780338,2026-07-09 19:00:00,0.49336369773726274,0.30240091969222355,0.1909627780450392,0.011395580361388546,2.05,848,0,0,False,,,0.35,0.5258943505555556,0.09692302475597392,lose,67
botposlednji1,1554397,btts,No,2026-07-09 18:28:26.780338,2026-07-09 19:00:00,0.5019141983181761,0.31065292145786855,0.19126127686030753,0.0038283966363521493,2.0,848,0,0,False,,,0.35,0.5258943505555556,0.11698099458811761,win,68
botposlednji1,1494698,over_under,Under 2.5,2026-07-12 05:38:19.314626,2026-07-12 17:15:00,0.4060999914081258,0.2645843747878925,0.14151561662023332,0.0152499785203144,2.5,103,10,8,False,,,0.35,11.611301492777779,0.4230564301967057,win,69
botposlednji1,1494695,over_under,Under 2.5,2026-07-12 05:38:19.314626,2026-07-12 12:30:00,0.38750881568991913,0.23309582332734133,0.1544129923625778,0.007522920793789689,2.6,103,9,11,False,,,0.35,6.861301492777778,0.3942057055252519,win,70
botposlednji1,1494693,over_under,Under 2.5,2026-07-12 05:38:19.314626,2026-07-12 15:00:00,0.3850196501084543,0.23859506278899167,0.14642458731946262,0.0010510902819811374,2.6,103,10,10,False,,,0.35,9.361301492777779,0.38064326659633185,lose,71
botposlednji1,1567810,match_winner,Draw,2026-07-13 04:49:27.118330,2026-07-13 23:00:00,0.17151226636940048,0.11809408107061461,0.053418185298785864,0.03764921153487277,6.05,76,12,12,False,,,0.35,18.17580046388889,0.7532930888320131,lose,72
botposlednji1,1554425,over_under,Under 2.5,2026-07-14 04:22:51.735366,2026-07-14 19:00:00,0.5430518556683677,0.3423313425747607,0.20072051309360694,0.004645932986480306,1.85,848,0,0,False,,,0.35,14.618962398333332,0.20448209623653268,win,73
current_bot,1554451,over_under,Under 2.5,2026-07-16 06:08:50.661774,2026-07-16 20:00:00,0.5137145633065943,0.21107107377611498,0.30264348953047926,0.35620644712940885,2.64,3,1,14,False,,,0.35,13.852593951666666,0.06878926298314048,lose,88
current_bot,1554449,over_under,Under 2.5,2026-07-16 06:08:50.661774,2026-07-16 18:15:00,0.5145057828796933,0.21333170112782646,0.30117408175186683,0.3377150354872025,2.6,3,16,5,False,,,0.35,12.102593951666666,0.07331051768656349,lose,89
current_bot,1554426,over_under,Under 2.5,2026-07-16 06:08:50.661774,2026-07-16 16:30:00,0.5207689171414649,0.23122637044717384,0.289542546694291,0.26026077948234505,2.42,848,5,4,False,,,0.35,10.352593951666666,0.10909985632525832,lose,90
current_bot,1554431,over_under,Under 2.5,2026-07-16 06:08:50.661774,2026-07-16 16:00:00,0.5349774905092665,0.2718222943551784,0.26315519615408806,0.23044822817131272,2.3,848,9,5,False,,,0.35,9.852593951666666,0.1902917041412674,win,91
current_bot,1554439,match_winner,Away,2026-07-16 06:08:50.661774,2026-07-16 15:00:00,0.2446095340316336,0.13322811335610693,0.11138142067552667,0.22304767015816807,5.0,848,1,1,False,,,0.35,8.852593951666666,0.6572879363829949,lose,92
